CountryCode,state,city,lat,lon,area_code
us,Minnesota,Coon Rapids,45.1755,-93.3094,"763"
us,Washington,Olympia,47.0417,-122.8959,"360, 564"
us,Florida,Tallahassee,30.4551,-84.2527,"850, 448"
us,Texas,Killeen,31.0753,-97.7297,"254"
us,Ohio,Columbus,32.51,-84.8771,"614, 380"
us,Texas,Frisco,33.156,-96.8216,"214, 469, 945, 972"
us,Texas,Irving,32.8583,-96.9702,"214,469,945,972,682,817"
us,Illinois,Round Lake Beach,42.3791,-88.0811,"847, 224"
us,Alabama,Montgomery,32.3482,-86.2668,"334"
us,Virginia,Chesapeake,36.6778,-76.3023,"757, 948"
us,Ohio,Lorain,41.4409,-82.184,"440, 436"
us,Arizona,Glendale,33.5791,-112.2311,"602, 480"
us,New Hampshire,Nashua,42.7491,-71.491,"603"
us,Pennsylvania,York,39.9651,-76.7315,"717, 223"
us,Arizona,Queen Creek,33.2454,-111.6173,"480"
us,South Carolina,Rock Hill,34.9415,-81.0241,"803, 839"
us,Illinois,Arlington Heights,42.0955,-87.9826,"847"
us,Arizona,Scottsdale,33.6872,-111.8651,"480"
us,Utah,South Jordan,40.557,-111.9784,"385,801"
us,Georgia,Athens,33.9508,-83.3689,"706, 762"
us,Texas,Brownsville,25.9975,-97.458,"956"
us,Florida,Palm Coast,29.5389,-81.2457,"386"
us,Texas,Arlington,38.8786,-77.1011,"817, 682"
us,Virginia,Norfolk,36.8945,-76.259,"757, 948"
us,Wisconsin,Appleton,44.278,-88.3892,"920, 274"
us,Mississippi,Gulfport,30.4274,-89.0704,"228"
us,Louisiana,Lafayette,30.2082,-92.0325,"337"
us,Wisconsin,Green Bay,44.5148,-87.9895,"920, 274"
us,Oregon,Hillsboro,45.5273,-122.936,"503, 791"
us,Florida,Gainesville,29.6804,-82.3459,"352"
us,Florida,Kendale Lakes,25.7081,-80.4078,"305, 786"
us,North Dakota,Fargo,46.8651,-96.8292,"701"
us,Florida,Deltona,28.905,-81.2137,"321, 386,407,689"
us,Florida,Hialeah,25.8696,-80.3045,"305, 786, 645"
us,Washington,Tacoma,47.2431,-122.4531,"253"
us,Nevada,Spring Valley,36.0952,-115.2636,"845"
us,Tennessee,Clarksville,36.5692,-87.3413,"931"
us,South Dakota,Sioux Falls,43.5396,-96.7311,"605"
us,Illinois,Naperville,41.748,-88.1659,"630, 331"
us,Texas,College Station,30.5852,-96.2959,"979"
us,Alabama,Tuscaloosa,33.2348,-87.5268,"205, 659"
us,Virginia,Roanoke,37.2785,-79.9581,"540, 826"
us,Oregon,Portland,43.6773,-70.2715,"503, 971"
us,Texas,Amarillo,35.1984,-101.8316,"806"
us,South Carolina,Spartanburg,34.9442,-81.9251,"864, 821"
us,New York,Yonkers,40.9466,-73.8673,"914"
us,Georgia,Sandy Springs,33.9366,-84.3703,"404, 678, 770, 470"
us,Maryland,Hagerstown,39.6401,-77.7217,"301, 240"
us,Indiana,Evansville,37.9881,-87.5341,"812, 930"
us,Michigan,Kalamazoo,42.2749,-85.5882,"269"
us,New York,New Rochelle,40.9304,-73.7836,"914"
us,Texas,Galveston,29.2484,-94.8913,"409"
us,Texas,McKinney,33.2016,-96.667,"214, 469, 945, 972"
us,West Virginia,Huntington,38.4109,-82.4345,"304, 681"
us,Idaho,Nampa,43.5844,-116.5638,"208, 986"
us,New Jersey,Elizabeth,40.6658,-74.1913,"908"
us,North Carolina,Hickory,35.741,-81.3223,"828"
us,Massachusetts,Springfield,39.7709,-89.654,"413"
us,Connecticut,Waterbury,41.5582,-73.0361,"203, 475"
us,Pennsylvania,Erie,42.1167,-80.0733,"814, 582"
us,Nevada,Sunrise Manor,36.1783,-115.0487,"702, 725"
us,Oregon,Beaverton,45.4779,-122.8168,"503,971"
us,Texas,Grand Prairie,32.6871,-97.0208,"214, 469, 972, 945"
us,Louisiana,Metairie,29.9977,-90.178,"504"
us,Florida,Ocala,29.178,-82.1511,"352"
us,Kansas,Overland Park,38.887,-94.687,"913"
us,Massachusetts,Cambridge,42.3759,-71.1185,"617, 857"
us,Alabama,Anniston,33.6712,-85.8135,"256,938"
us,Illinois,Peoria,33.7843,-112.2989,"309, 861"
us,Iowa,Cedar Rapids,41.9662,-91.6783,"319"
us,Washington,Vancouver,45.6366,-122.5967,"360, 564"
us,Utah,West Valley City,40.6886,-112.0123,"385, 801"
us,Florida,Pompano Beach,26.2428,-80.1312,"954, 754"
us,Michigan,Warren,42.4934,-83.027,"586"
us,Florida,Spring Hill,28.4798,-82.53,"352"
us,Tennessee,Murfreesboro,35.849,-86.4121,"615, 629"
us,Illinois,Cicero,41.8445,-87.7593,"708,464"
us,Arizona,Tempe,33.3881,-111.9319,"480"
us,Nevada,Paradise,36.0872,-115.1355,"702, 725"
us,Virginia,Newport News,37.1051,-76.5185,"757, 984"
us,Florida,Miramar,25.9773,-80.3351,"754, 954"
us,Florida,Fort Lauderdale,26.1412,-80.1464,"954"
us,Illinois,Bloomington,40.4757,-88.9703,"309, 861"
us,Florida,Gainesville,34.2902,-83.8294,"352"
us,Florida,Panama City,30.1995,-85.6003,"850, 448"
us,Arizona,Buckeye,33.4314,-112.6429,"623, 602, 480, 928."
us,Colorado,Aurora,41.7638,-88.2902,"303, 720, 983"
us,Florida,Fountainebleau,25.7723,-80.346,"904"
us,Florida,Margate,26.2466,-80.2119,"754, 954"
us,South Carolina,Mauldin,34.7821,-82.3032,"864, 821"
us,Massachusetts,Malden,42.4305,-71.0576,"339,781"
us,North Carolina,Cary,35.7819,-78.8195,"919, 984"
us,Utah,Logan,41.7399,-111.8422,"435"
us,Louisiana,Houma,29.58,-90.7059,"985"
us,South Carolina,Greenville,35.5943,-77.376,"864, 821"
us,North Carolina,High Point,35.991,-79.9937,"336, 743"
us,Florida,Pembroke Pines,26.0128,-80.3382,"954, 754"
us,Colorado,Broomfield,39.9542,-105.0526,"303,720,983"
us,Washington,Marysville,48.0809,-122.1561,"360"
us,Delaware,Dover,43.1887,-70.8845,"302"
us,Virginia,Lynchburg,37.4003,-79.1909,"434"
us,Virginia,Fredericksburg,38.2992,-77.4872,"540, 826"
us,Washington,Sammamish,47.6017,-122.0416,"425"
us,Oklahoma,Midwest City,35.463,-97.371,"405"
us,Michigan,Dearborn,42.3127,-83.213,"313"
us,Oregon,Medford,42.3372,-122.854,"541, 458"
us,Florida,Homestead,25.4665,-80.4472,"305,785,645"
us,Texas,Odessa,31.8801,-102.3448,"432"
us,Florida,Miami Gardens,25.9433,-80.2426,"305, 786, 645"
us,North Carolina,Apex,35.7237,-78.8743,"919,984"
us,Connecticut,Norwich,41.5495,-72.0882,"860, 959"
us,New Hampshire,Manchester,42.9848,-71.4447,"603"
us,Michigan,Muskegon,43.2281,-86.2562,"231"
us,Florida,Leesburg,28.7672,-81.8962,"352"
us,Washington,Kirkland,47.697,-122.2057,"425"
us,Louisiana,Lafayette,40.3991,-86.8593,"337"
us,New Jersey,Paterson,40.9147,-74.1624," 201, 862, 973"
us,Virginia,Alexandria,38.8185,-77.0861,"703, 571"
us,New Jersey,Clifton,40.863,-74.1575,"973,862"
us,Georgia,Macon,32.8065,-83.6974,"478"
us,Iowa,Iowa City,41.6559,-91.5303,"319"
us,Ohio,Hamilton,39.3939,-84.5653,"513"
us,Colorado,Lakewood,39.6977,-105.1172,"303, 720, 983"
us,Florida,Miami Beach,25.8171,-80.1396,"305, 786,645"
us,Missouri,Kansas City,39.1235,-94.7443,"816, 975"
us,North Carolina,Burlington,36.076,-79.4685,"336, 743"
us,Maryland,Germantown,39.1755,-77.2643,"301, 240, 227"
us,Georgia,Warner Robins,32.5961,-83.6527,"478"
us,Florida,Hollywood,26.0293,-80.1679,"954, 754"
us,Indiana,Terre Haute,39.466,-87.3751,"812, 930"
us,Massachusetts,New Bedford,41.6697,-70.9428,"508, 774"
us,Utah,St. George,37.0758,-113.5752,"435"
us,Michigan,South Lyon,42.4614,-83.6526,"248, 947"
us,Washington,Bellevue,47.5951,-122.1535,"425"
us,Massachusetts,Lynn,42.4781,-70.9664,"339, 781"
us,New York,Binghamton,42.1014,-75.9093,"607"
us,Kansas,Topeka,39.0346,-95.6955,"785"
us,Washington,Renton,47.4784,-122.1918,"425"
us,Illinois,Joliet,41.5188,-88.1499,"815, 779"
us,Arizona,Surprise,33.6815,-112.4515,"623"
us,Texas,Pasadena,29.6575,-95.1498,"713, 281, 346, 832, 621"
us,Texas,Mesquite,32.7602,-96.5865,"214, 469, 972, 945"
us,Illinois,Champaign,40.1142,-88.2737,"217, 447"
us,Massachusetts,Newton,42.3316,-71.2085,"617,857"
